 Time, Input, Delta Input, Velocity, Acceleration ,Voltage,Delta Voltage,RPM,RPM per s
0.082965,0.007874,0.787402,0,0,0.0933069,9.3307137,0,0
0.104071,0.007874,0,0,0,0.0933069,0,0,0
0.106394,0.007874,0,0,0,0.0933069,0,0,0
0.108504,0.007874,0,0,0,0.0933069,0,0,0
0.111379,0.007874,0,0,0,0.0933069,0,0,0
0.11378,0.007874,0,0,0,0.0933069,0,0,0
0.116264,0.007874,0,0,0,0.0933069,0,0,0
0.11867,0.007874,0,0,0,0.0933069,0,0,0
0.121011,0.007874,0,0,0,0.0933069,0,0,0
0.123027,0.007874,0,0,0,0.0933069,0,0,0
0.124989,0.007874,0,0,0,0.0933069,0,0,0
0.12736,0.007874,0,0,0,0.0933069,0,0,0
0.130705,0.007874,0,0,0,0.0933069,0,0,0
0.133123,0.007874,0,0,0,0.0933069,0,0,0
0.139772,0.007874,0,0,0,0.0933069,0,0,0
0.150156,0.007874,0,0,0,0.0933069,0,0,0
0.159782,0.007874,0,0,0,0.0933069,0,0,0
0.170179,0.007874,0,0,0,0.0933069,0,0,0
0.179765,0.007874,0,0,0,0.0933069,0,0,0
0.190312,0.007874,0,0,0,0.0933069,0,0,0
0.199777,0.007874,0,0,0,0.0933069,0,0,0
0.210224,0.007874,0,0,0,0.0933069,0,0,0
0.219792,0.007874,0,0,0,0.0933069,0,0,0
0.230271,0.007874,0,0,0,0.0933069,0,0,0
0.239796,0.007874,0,0,0,0.0933069,0,0,0
0.249904,0.007874,0,0,0,0.0933069,0,0,0
0.259812,0.007874,0,0,0,0.0933069,0,0,0
0.270318,0.007874,0,0,0,0.0933069,0,0,0
0.27977,0.007874,0,0,0,0.0933069,0,0,0
0.290262,0.007874,0,0,0,0.0933069,0,0,0
0.299778,0.007874,0,0,0,0.0933069,0,0,0
0.310143,0.007874,0,0,0,0.0933069,0,0,0
0.319927,0.007874,0,0,0,0.0933069,0,0,0
0.330046,0.007874,0,0,0,0.0933069,0,0,0
0.33978,0.007874,0,0,0,0.0933069,0,0,0
0.35032,0.007874,0,0,0,0.0933069,0,0,0
0.359797,0.007874,0,0,0,0.0933069,0,0,0
0.370244,0.007874,0,0,0,0.0933069,0,0,0
0.379874,0.007874,0,0,0,0.0933069,0,0,0
0.389928,0.007874,0,0,0,0.0933069,0,0,0
0.399806,0.007874,0,0,0,0.0933069,0,0,0
0.410122,0.007874,0,0,0,0.0933069,0,0,0
0.419774,0.007874,0,0,0,0.0933069,0,0,0
0.429996,0.007874,0,0,0,0.0933069,0,0,0
0.439777,0.007874,0,0,0,0.0933069,0,0,0
0.450249,0.007874,0,0,0,0.0933069,0,0,0
0.459786,0.007874,0,0,0,0.0933069,0,0,0
0.470874,0.007874,0,0,0,0.0933069,0,0,0
0.480148,0.007874,0,0,0,0.0933069,0,0,0
0.495825,0.007874,0,0,0,0.0933069,0,0,0
0.502986,0.007874,0,0,0,0.0933069,0,0,0
0.50999,0.007874,0,0,0,0.0933069,0,0,0
0.519816,0.007874,0,0,0,0.0933069,0,0,0
0.530118,0.007874,0,0,0,0.0933069,0,0,0
0.539785,0.007874,0,0,0,0.0933069,0,0,0
0.550417,0.007874,0,0,0,0.0933069,0,0,0
0.559783,0.007874,0,0,0,0.0933069,0,0,0
0.569888,0.007874,0,0,0,0.0933069,0,0,0
0.579805,0.007874,0,0,0,0.0933069,0,0,0
0.59026,0.007874,0,0,0,0.0933069,0,0,0
0.599777,0.007874,0,0,0,0.0933069,0,0,0
0.610401,0.007874,0,0,0,0.0933069,0,0,0
0.619821,0.007874,0,0,0,0.0933069,0,0,0
0.630057,0.007874,0,0,0,0.0933069,0,0,0
0.639766,0.007874,0,0,0,0.0933069,0,0,0
0.650492,0.007874,0,0,0,0.0933069,0,0,0
0.659806,0.007874,0,0,0,0.0933069,0,0,0
0.670122,0.007874,0,0,0,0.0933069,0,0,0
0.679817,0.007874,0,0,0,0.0933069,0,0,0
0.689846,0.007874,0,0,0,0.0933069,0,0,0
0.699782,0.007874,0,0,0,0.0933069,0,0,0
0.709945,0.007874,0,0,0,0.0933069,0,0,0
0.719782,0.007874,0,0,0,0.0933069,0,0,0
0.730051,0.007874,0,0,0,0.0933069,0,0,0
0.739851,0.007874,0,0,0,0.0933069,0,0,0
0.750333,0.007874,0,0,0,0.0933069,0,0,0
0.759778,0.007874,0,0,0,0.0933069,0,0,0
0.770165,0.007874,0,0,0,0.0933069,0,0,0
0.779795,0.007874,0,0,0,0.0933069,0,0,0
0.790168,0.007874,0,0,0,0.0933069,0,0,0
0.799784,0.007874,0,0,0,0.0933069,0,0,0
0.8106,0.007874,0,0,0,0.0933069,0,0,0
0.819785,0.007874,0,0,0,0.0933069,0,0,0
0.830182,0.007874,0,0,0,0.0933069,0,0,0
0.839795,0.007874,0,0,0,0.0933069,0,0,0
0.850237,0.007874,0,0,0,0.0933069,0,0,0
0.859771,0.007874,0,0,0,0.0933069,0,0,0
0.870147,0.007874,0,0,0,0.0933069,0,0,0
0.879805,0.007874,0,0,0,0.0933069,0,0,0
0.890259,0.007874,0,0,0,0.0933069,0,0,0
0.899797,0.007874,0,0,0,0.0933069,0,0,0
0.910165,0.007874,0,0,0,0.0933069,0,0,0
0.9198,0.007874,0,0,0,0.0933069,0,0,0
0.930207,0.007874,0,0,0,0.0933069,0,0,0
0.939807,0.007874,0,0,0,0.0933069,0,0,0
